EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
28,37,0,2,2,5,1,2,1,1,1,6,2,27050,1.0,0,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3
29,44,1,1,1,1,2,3,1,1,2,6,0,103330,3.0,0,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3
30,38,0,2,2,2,3,2,1,0,1,3,0,44480,9.0,0,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3
31,26,1,2,1,4,3,3,1,1,3,6,0,68540,2.0,0,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3
32,28,0,2,1,7,3,4,1,1,1,1,2,96370,1.0,0,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3
33,49,0,1,1,1,1,3,1,0,2,6,2,35910,9.0,0,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3
34,36,0,2,2,5,3,5,1,1,3,7,2,54050,4.0,0,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3
35,31,0,1,1,9,4,3,1,1,1,7,0,46840,1.0,0,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3
36,26,1,2,1,8,3,3,1,1,2,3,2,157870,1.0,0,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3
37,37,0,1,2,9,1,2,1,1,1,2,1,15140,1.0,0,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3
38,42,0,1,2,2,2,2,1,1,3,5,1,29560,5.0,0,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3
39,18,1,2,1,1,4,1,1,1,1,7,2,23350,1.0,0,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3
40,35,0,2,2,20,2,1,1,1,1,2,1,51540,0.0,0,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3
42,51,0,2,1,2,3,1,1,1,2,2,0,56750,5.0,0,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3
43,41,0,2,1,29,1,1,1,1,1,2,2,23790,1.0,0,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3
44,18,0,2,2,7,3,1,1,1,1,6,2,38120,1.0,0,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3
45,28,0,2,1,9,3,3,1,1,1,8,2,46480,0.0,0,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4
46,31,0,2,1,8,1,5,1,1,1,4,1,29360,4.0,0,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3
47,39,0,2,2,5,4,2,1,0,2,1,0,21050,0.0,0,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4
48,36,0,0,1,5,4,1,1,1,1,7,1,85780,7.0,0,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4
49,32,0,2,2,2,3,2,1,1,2,2,1,27060,1.0,0,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4
50,38,0,2,1,5,2,1,1,0,3,6,1,63840,3.0,0,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3
51,58,0,0,1,2,3,1,1,1,2,4,0,39680,2.0,0,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3
52,31,0,2,1,20,1,5,1,0,3,6,1,99070,0.0,0,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3
53,31,0,2,2,7,4,2,1,1,2,7,1,132250,3.0,0,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4
54,45,0,1,1,3,1,3,1,0,1,7,0,35400,1.0,0,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3
55,31,0,2,2,16,4,2,1,0,2,6,0,28040,0.0,0,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3
56,33,0,1,1,9,3,1,1,1,4,5,1,193920,6.0,0,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3
57,39,0,2,2,1,4,1,1,1,1,7,1,196650,1.0,0,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4
58,43,0,1,1,7,4,3,1,1,4,6,2,24390,0.0,0,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3
59,49,0,2,1,1,3,1,1,1,3,4,2,73140,7.0,0,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4
60,52,1,2,1,7,1,1,1,0,2,6,1,47740,2.0,0,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3
61,27,0,2,1,15,4,3,1,1,3,6,2,39020,1.0,0,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4
62,32,0,2,1,1,3,1,1,1,3,6,1,26620,1.0,0,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3
63,27,0,2,1,13,2,3,1,0,4,5,2,28560,1.0,0,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3
64,31,0,2,2,24,3,1,1,1,2,0,0,10810,4.0,0,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3
65,32,0,2,1,7,3,5,1,1,2,0,2,24720,7.0,0,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3
66,28,1,2,1,9,4,3,1,1,1,7,1,56730,5.0,0,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3
67,30,0,2,1,13,3,1,1,0,4,5,1,41970,1.0,0,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3
68,31,0,1,1,2,1,1,1,0,1,3,1,97130,1.0,0,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3
69,39,0,1,1,19,4,3,1,0,1,6,1,20620,1.0,0,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3
70,39,1,2,1,1,1,3,1,0,1,2,1,42840,4.0,0,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3
71,33,0,1,2,4,2,1,1,1,4,6,2,47880,3.0,0,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3
72,47,0,2,1,4,3,1,1,0,2,0,1,59060,4.0,0,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4
73,43,0,1,1,14,3,3,1,0,5,5,0,38860,1.0,0,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3
74,27,0,0,1,2,3,1,1,1,1,5,1,168230,0.0,0,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3
75,54,0,1,1,1,4,1,1,1,2,6,2,29330,3.0,0,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3
76,43,0,2,1,7,2,1,1,0,2,3,1,65000,8.0,0,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4
77,45,0,2,2,3,1,2,1,0,1,7,1,171740,9.0,0,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3
78,40,0,2,1,2,4,4,1,1,4,6,1,50330,2.0,0,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3
79,29,1,2,1,29,3,3,1,0,1,6,1,23070,1.0,0,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3
80,29,0,2,0,8,3,3,1,1,3,8,2,25870,0.0,0,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4
81,30,0,2,1,10,3,1,1,1,2,6,0,55070,1.0,0,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3
82,27,0,2,1,11,2,3,1,1,1,3,1,43930,1.0,0,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3
83,37,0,2,2,1,4,1,1,1,2,0,0,133480,7.0,0,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3
84,38,0,2,1,28,4,3,1,1,1,2,0,65830,0.0,0,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3
86,29,0,2,1,3,4,1,1,1,3,7,0,39780,1.0,0,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3
87,35,0,2,2,16,2,5,1,1,3,3,2,25440,0.0,0,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3
88,23,0,2,1,20,4,1,1,1,1,4,0,53990,1.0,0,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4
89,41,0,2,1,9,2,1,1,0,1,2,2,54870,6.0,0,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3
90,47,0,1,2,1,3,3,1,0,2,2,2,68340,3.0,0,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3
91,42,0,2,1,3,4,1,1,1,1,3,2,10910,2.0,0,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4
92,29,0,0,2,22,4,2,1,1,2,1,1,57360,1.0,0,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4
93,42,0,2,2,7,4,3,1,1,3,6,0,22260,0.0,0,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3
94,32,0,2,1,2,3,3,1,1,2,6,1,57470,1.0,0,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3
95,48,0,2,2,13,4,3,1,1,4,7,1,98540,3.0,0,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3
96,37,0,2,1,8,5,5,1,1,2,4,0,54670,4.0,0,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3
97,30,0,0,2,25,4,4,1,1,1,0,1,53800,7.0,0,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4
98,26,0,2,2,28,3,3,1,0,5,2,1,51510,1.0,0,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3
99,42,0,2,2,2,2,3,1,0,1,2,2,21330,3.0,0,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3
100,21,1,1,1,9,3,3,1,0,4,4,2,178750,1.0,0,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3
101,36,0,0,0,28,3,0,1,1,2,2,2,24320,4.0,0,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4
102,36,0,1,1,6,3,1,1,0,2,6,1,47710,4.0,0,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3
103,57,0,2,1,21,4,1,1,1,5,6,1,191610,2.0,0,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3
104,40,0,2,1,8,3,4,1,1,2,7,1,50870,3.0,0,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3
105,21,0,0,1,1,5,1,1,0,2,3,2,28630,1.0,0,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3
106,33,1,2,0,28,2,0,1,0,5,3,2,55610,1.0,0,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4
107,37,0,2,1,5,3,1,1,1,4,6,1,21440,6.0,0,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3
108,46,0,0,2,2,4,2,1,0,2,2,1,30650,2.0,0,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3
109,41,1,1,1,16,1,3,1,0,1,6,2,28100,1.0,0,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3
110,50,0,2,1,9,3,3,1,0,3,2,2,98880,6.0,0,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3
111,40,1,2,1,8,3,3,1,0,1,0,1,86280,2.0,0,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4
113,21,1,2,0,10,2,0,1,1,1,2,2,53730,1.0,0,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3
114,29,0,2,1,1,3,1,1,0,2,5,2,66670,9.0,0,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3
115,35,0,2,1,29,3,1,1,0,3,7,2,50030,9.0,0,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3
117,28,0,2,1,2,2,3,1,1,3,3,2,28580,1.0,0,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3
118,49,0,2,2,2,3,5,1,1,2,4,2,52040,8.0,0,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3
119,51,0,2,1,1,2,1,1,1,1,7,1,41050,4.0,0,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4
120,36,0,2,2,15,2,1,1,1,1,7,1,96790,4.0,0,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3
121,34,1,0,1,7,3,1,1,1,1,8,2,56170,8.0,0,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4
122,55,0,2,2,26,3,2,1,1,1,2,2,104480,2.0,0,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3
123,24,0,2,1,1,3,1,1,0,5,3,0,28970,1.0,0,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3
124,30,0,2,1,3,3,1,1,0,2,3,1,59680,1.0,0,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3
126,22,0,2,1,16,5,4,1,1,1,6,1,29910,1.0,0,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3
127,36,0,2,1,1,3,3,1,0,5,0,1,196360,1.0,0,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3
128,30,1,1,2,3,2,2,1,1,3,6,2,11290,9.0,0,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3
129,37,0,2,1,10,1,5,1,1,1,7,0,133410,1.0,0,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3
130,40,0,2,1,6,2,3,1,1,3,6,0,43320,7.0,0,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3
131,42,0,2,1,2,3,3,1,0,4,3,0,110310,3.0,0,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3
132,37,0,2,2,9,1,2,1,1,3,7,2,44400,2.0,0,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3
133,43,0,2,2,10,2,1,1,0,1,7,0,46170,1.0,0,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3
134,40,0,2,2,6,2,1,1,0,1,2,1,26470,6.0,0,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3
135,54,0,2,0,9,3,1,1,0,2,4,1,63230,4.0,0,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4
136,34,0,0,1,28,3,3,1,1,1,2,1,56770,9.0,0,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4
137,31,0,2,1,10,4,1,1,1,3,7,1,21870,1.0,0,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3
139,43,0,2,2,27,4,1,1,1,2,8,0,39770,4.0,0,18,8,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3
140,25,0,2,0,7,2,0,1,1,1,4,2,86330,1.0,0,19,8,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3
141,37,0,0,1,1,3,3,1,1,3,2,1,20080,3.0,0,22,8,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4
142,31,0,2,1,24,1,3,1,1,3,2,1,44400,1.0,0,13,8,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3
143,39,0,1,1,26,4,5,1,0,1,7,0,30670,1.0,0,20,8,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4
144,56,0,1,1,20,4,1,1,0,3,7,1,53210,9.0,0,14,8,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3
145,30,0,2,2,5,4,3,1,0,2,4,2,54100,0.0,0,17,8,1,6.0,2,5,4,4,2.0,3.0,3.0,3,3
146,41,0,2,1,7,3,5,1,0,3,6,1,27820,1.0,0,14,8,0,10.0,2,10,0,7,2.0,1.0,3.0,2,3
147,28,0,2,1,7,3,3,1,1,3,0,0,119570,1.0,0,13,8,0,10.0,2,10,1,8,3.0,1.0,3.0,2,3
148,25,1,2,1,5,2,1,1,0,3,2,1,26600,5.0,0,13,8,0,6.0,3,2,0,2,1.0,1.0,3.0,3,3
149,52,0,2,1,26,2,1,1,0,2,8,1,33750,2.0,0,21,8,0,28.0,2,5,0,4,4.0,3.0,3.0,2,4
150,45,0,2,1,2,3,3,1,0,1,7,1,50980,3.0,0,14,8,1,8.0,4,2,0,2,1.0,4.0,2.0,3,3
151,52,0,2,1,12,3,3,1,1,2,6,1,48780,2.0,0,11,8,1,31.0,3,5,1,4,4.0,4.0,1.0,3,3
152,42,0,1,2,10,3,2,1,0,2,0,0,28370,2.0,0,13,8,1,19.0,0,5,0,2,1.0,3.0,3.0,2,3
153,30,0,2,2,25,3,2,1,1,1,7,2,24060,2.0,0,20,8,1,11.0,5,5,0,2,3.0,4.0,3.0,3,4
154,60,0,2,1,10,3,1,1,0,1,4,1,22690,5.0,0,18,8,1,33.0,4,29,11,10,1.0,1.0,1.0,3,3
155,46,0,2,2,19,4,2,1,0,1,7,0,41080,2.0,0,14,8,0,19.0,5,10,0,8,3.0,3.0,2.0,2,3
156,42,0,1,1,18,4,5,1,1,4,7,1,132060,0.0,0,13,8,2,7.0,2,6,0,4,4.0,4.0,4.0,3,3
157,24,1,2,1,27,2,3,1,1,1,6,2,104220,1.0,0,17,8,1,6.0,0,5,1,4,1.0,2.0,3.0,2,3
158,34,1,1,1,5,3,3,1,1,2,6,0,137440,0.0,0,20,8,1,3.0,3,2,1,0,4.0,3.0,2.0,3,4
159,38,0,1,2,3,3,2,1,0,2,7,1,49070,1.0,0,11,8,1,1.0,3,1,0,0,4.0,4.0,3.0,3,3
160,40,0,2,2,26,4,2,1,0,1,7,1,34820,0.0,0,18,8,1,21.0,2,20,1,12,3.0,3.0,3.0,2,3
161,26,0,2,1,3,2,3,1,0,4,0,0,24360,1.0,0,24,8,0,3.0,2,3,0,2,1.0,4.0,1.0,4,4
162,30,0,0,1,15,3,3,1,0,2,7,1,23800,4.0,0,18,8,3,9.0,2,5,1,4,3.0,4.0,1.0,2,3
163,29,0,2,1,8,3,3,1,0,3,4,1,194310,1.0,0,11,8,0,10.0,3,10,0,7,2.0,3.0,3.0,3,3
164,29,1,2,1,19,4,1,1,1,3,6,1,17900,5.0,0,16,8,1,6.0,4,2,1,1,3.0,2.0,4.0,2,3
165,19,1,2,1,4,3,3,1,1,1,7,2,76440,1.0,0,15,8,2,1.0,2,1,0,0,1.0,4.0,4.0,3,3
166,30,0,0,1,2,4,1,1,0,3,6,1,51310,0.0,0,15,8,1,10.0,2,9,7,8,3.0,1.0,3.0,3,3
167,57,0,2,1,2,2,1,1,1,4,6,0,63060,3.0,0,12,8,1,32.0,3,1,0,0,1.0,4.0,2.0,3,3
168,50,0,2,2,10,4,1,1,0,3,3,1,47870,0.0,0,12,8,0,28.0,3,27,15,7,2.0,3.0,3.0,3,3
169,30,0,0,2,10,2,1,1,1,3,2,2,188800,0.0,0,22,8,1,12.0,3,11,6,7,3.0,4.0,2.0,3,4
170,60,0,1,1,16,3,1,1,0,4,2,1,23390,4.0,0,20,8,0,22.0,4,18,13,11,3.0,1.0,4.0,3,4
171,47,0,2,1,1,3,5,1,1,5,4,0,135700,5.0,0,16,8,2,20.0,2,5,0,4,1.0,4.0,3.0,2,3
172,46,0,2,2,4,1,5,1,1,1,2,1,67120,6.0,0,21,8,1,26.0,3,3,0,1,1.0,3.0,1.0,2,4
173,35,0,2,1,15,2,3,1,0,2,2,2,54060,0.0,0,12,8,1,6.0,2,5,4,3,4.0,3.0,3.0,3,3
174,54,0,2,1,2,4,3,1,1,2,1,2,89380,7.0,0,11,8,3,19.0,2,1,0,0,3.0,3.0,3.0,3,3
175,34,0,2,2,8,2,1,1,1,1,2,0,24390,3.0,0,11,8,2,14.0,2,7,5,7,4.0,3.0,3.0,4,3
176,46,0,2,1,2,3,1,1,1,1,0,1,88370,2.0,0,18,8,0,15.0,3,3,1,2,3.0,4.0,3.0,2,3
177,31,0,2,1,7,3,1,1,1,2,5,0,53430,1.0,0,14,8,1,13.0,3,13,0,8,3.0,2.0,4.0,3,3
178,33,1,2,1,10,3,1,1,0,4,5,1,67280,7.0,0,22,8,0,15.0,2,7,7,7,2.0,3.0,4.0,2,4
179,33,1,2,2,5,4,2,1,1,2,5,0,66520,7.0,0,25,8,0,8.0,5,4,1,3,1.0,4.0,3.0,3,4
180,30,0,2,1,2,3,1,1,1,1,7,2,48500,0.0,0,12,8,1,4.0,4,3,1,2,4.0,2.0,3.0,3,3
181,35,0,2,1,12,2,3,1,0,2,8,1,28090,4.0,0,23,8,1,10.0,2,8,0,0,4.0,3.0,3.0,1,4
182,31,1,1,1,22,2,3,1,0,2,7,1,56890,3.0,0,15,8,2,12.0,2,1,0,0,1.0,3.0,3.0,2,3
183,34,1,1,2,17,1,2,1,1,1,5,0,20010,9.0,0,22,8,1,11.0,5,3,0,2,2.0,1.0,3.0,4,4
184,42,0,1,1,2,4,3,1,0,1,6,1,29770,4.0,0,15,8,3,8.0,3,2,2,0,2.0,3.0,3.0,2,3
185,36,0,0,1,3,4,3,1,1,1,6,2,40250,1.0,0,11,8,0,10.0,3,10,9,7,2.0,4.0,2.0,3,3
186,22,1,1,1,7,3,3,1,0,2,2,2,37850,5.0,0,13,8,2,4.0,2,2,1,2,3.0,3.0,3.0,3,3
187,48,0,2,1,6,3,3,1,1,1,2,1,108540,2.0,0,14,8,1,14.0,6,9,6,7,2.0,4.0,3.0,3,3
188,55,0,2,1,1,3,3,1,0,1,7,2,120310,3.0,0,11,8,0,37.0,5,10,7,7,1.0,2.0,3.0,3,3
189,41,0,0,1,3,2,1,1,0,2,6,2,99360,7.0,0,17,8,1,16.0,2,14,1,10,4.0,4.0,3.0,2,3
190,35,0,2,1,22,3,3,1,0,1,8,1,29660,9.0,0,18,8,0,15.0,2,11,6,9,2.0,3.0,3.0,2,3
191,40,0,2,1,15,3,1,1,0,2,2,2,25710,7.0,0,14,8,0,22.0,1,20,5,13,2.0,3.0,3.0,3,3
192,39,0,1,1,12,1,3,1,1,1,6,1,99910,1.0,0,16,8,1,8.0,3,8,0,7,3.0,3.0,3.0,3,3
193,31,0,2,1,1,4,1,1,1,3,5,2,61420,4.0,0,13,8,2,10.0,2,6,0,5,2.0,4.0,4.0,2,3
194,42,0,2,1,5,3,3,1,1,3,7,1,53900,1.0,0,14,8,0,10.0,3,10,5,8,4.0,1.0,2.0,3,3
195,45,0,2,1,2,1,3,1,0,4,7,1,44040,0.0,0,23,8,0,9.0,2,8,3,7,4.0,2.0,4.0,3,4
197,29,0,2,1,5,3,3,1,1,1,6,0,51300,4.0,0,11,8,0,8.0,3,3,1,2,4.0,4.0,4.0,2,3
198,33,0,2,1,16,3,3,1,0,1,2,0,20900,4.0,0,16,8,0,10.0,2,6,0,5,1.0,3.0,3.0,3,3
199,31,0,2,1,2,4,1,1,0,1,7,0,29090,9.0,0,14,8,2,10.0,2,5,0,1,3.0,4.0,2.0,3,3
200,18,1,1,1,2,3,5,1,1,1,7,2,34680,1.0,0,18,8,2,0.0,4,0,0,0,2.0,2.0,3.0,4,3
201,40,0,0,1,1,4,5,1,0,2,2,0,30680,3.0,0,19,8,0,20.0,3,1,0,1,3.0,1.0,3.0,2,3
202,41,0,0,1,23,3,1,1,1,2,4,2,26700,2.0,0,15,8,2,10.0,2,8,0,7,1.0,3.0,3.0,2,3
203,26,0,2,1,9,4,3,1,1,3,0,0,26930,5.0,0,17,8,3,8.0,3,0,0,0,1.0,3.0,3.0,2,3
204,35,0,2,1,16,4,3,1,1,2,1,2,95260,1.0,0,15,8,0,5.0,2,5,0,3,1.0,3.0,3.0,2,3
205,34,0,2,1,26,3,3,1,1,1,2,2,52370,1.0,0,19,8,1,10.0,3,10,5,7,4.0,4.0,3.0,2,3
